time_seconds,respiratory_rate_bpm
15.0,8.0
20.0,14.0
25.0,14.0
30.0,18.0
35.0,18.0
40.0,18.0
45.0,18.0
50.0,8.0
55.0,8.0
60.0,14.0
65.0,16.0
70.0,10.0
75.0,10.0
80.0,10.0
85.0,10.0
90.0,10.0
95.0,12.0
100.0,8.0
105.0,8.0
110.0,8.0
115.0,16.0
120.0,16.0
125.0,10.0
130.0,18.0
135.0,8.0
140.0,8.0
145.0,8.0
150.0,8.0
155.0,8.0
160.0,8.0
165.0,8.0
170.0,8.0
175.0,8.0
180.0,8.0
185.0,8.0
190.0,8.0
195.0,10.0
200.0,10.0
205.0,10.0
210.0,18.0
215.0,18.0
220.0,14.0
225.0,8.0
230.0,14.0
235.0,8.0
240.0,8.0
245.0,10.0
250.0,8.0
255.0,8.0
260.0,8.0
265.0,8.0
270.0,8.0
275.0,20.0
280.0,8.0
