rr_interval_seconds,rr_interval_ms,timestamp,heart_rate_bpm
0.766,766.0,,78.32898172323759
0.739,739.0,,81.19079837618403
0.732,732.0,,81.9672131147541
0.709,709.0,,84.6262341325811
0.693,693.0,,86.58008658008659
0.694,694.0,,86.45533141210375
0.683,683.0,,87.84773060029282
0.682,682.0,,87.97653958944281
0.685,685.0,,87.5912408759124
0.698,698.0,,85.9598853868195
0.695,695.0,,86.33093525179856
0.68,680.0,,88.23529411764706
0.684,684.0,,87.71929824561403
0.693,693.0,,86.58008658008659
0.75,750.0,,80.0
0.68,680.0,,88.23529411764706
0.65,650.0,,92.3076923076923
0.652,652.0,,92.02453987730061
0.659,659.0,,91.04704097116843
0.677,677.0,,88.62629246676514
0.686,686.0,,87.46355685131195
0.701,701.0,,85.59201141226819
0.746,746.0,,80.4289544235925
0.698,698.0,,85.9598853868195
0.522,522.0,,114.94252873563218
0.654,654.0,,91.74311926605505
0.613,613.0,,97.87928221859707
0.645,645.0,,93.02325581395348
0.644,644.0,,93.16770186335404
0.679,679.0,,88.36524300441826
0.652,652.0,,92.02453987730061
0.652,652.0,,92.02453987730061
0.675,675.0,,88.88888888888889
0.797,797.0,,75.28230865746549
0.752,752.0,,79.7872340425532
0.738,738.0,,81.30081300813008
0.742,742.0,,80.86253369272237
0.777,777.0,,77.22007722007721
0.853,853.0,,70.33997655334115
0.967,967.0,,62.04756980351603
0.919,919.0,,65.28835690968444
0.987,987.0,,60.79027355623101
0.967,967.0,,62.04756980351603
0.877,877.0,,68.41505131128848
0.94,940.0,,63.829787234042556
0.895,895.0,,67.0391061452514
0.803,803.0,,74.71980074719801
0.858,858.0,,69.93006993006993
0.931,931.0,,64.44683136412459
0.958,958.0,,62.63048016701462
0.907,907.0,,66.1521499448732
0.968,968.0,,61.98347107438017
1.027,1027.0,,58.42259006815969
0.98,980.0,,61.224489795918366
0.901,901.0,,66.59267480577137
0.904,904.0,,66.3716814159292
0.91,910.0,,65.93406593406593
0.87,870.0,,68.96551724137932
0.842,842.0,,71.25890736342043
0.852,852.0,,70.4225352112676
1.012,1012.0,,59.28853754940712
0.799,799.0,,75.09386733416771
0.887,887.0,,67.64374295377678
1.294,1294.0,,46.3678516228748
0.814,814.0,,73.71007371007371
0.805,805.0,,74.53416149068323
0.836,836.0,,71.77033492822967
0.866,866.0,,69.28406466512702
0.871,871.0,,68.88633754305395
0.983,983.0,,61.03763987792472
1.032,1032.0,,58.13953488372093
0.942,942.0,,63.69426751592357
0.981,981.0,,61.162079510703364
1.021,1020.9999999999999,,58.76591576885407
0.901,901.0,,66.59267480577137
0.856,856.0,,70.09345794392523
0.867,867.0,,69.20415224913495
0.999,999.0,,60.06006006006006
1.063,1063.0,,56.444026340545626
0.994,994.0,,60.36217303822938
0.967,967.0,,62.04756980351603
1.023,1022.9999999999999,,58.65102639296188
1.03,1030.0,,58.252427184466015
0.893,893.0,,67.18924972004478
0.961,961.0,,62.43496357960458
0.993,993.0,,60.42296072507553
0.926,926.0,,64.79481641468682
0.854,854.0,,70.2576112412178
0.909,909.0,,66.006600660066
1.027,1027.0,,58.42259006815969
1.06,1060.0,,56.60377358490566
0.964,964.0,,62.24066390041494
1.003,1002.9999999999999,,59.82053838484547
0.697,697.0,,86.08321377331421
0.911,911.0,,65.86169045005488
0.461,461.0,,130.1518438177874
0.902,902.0,,66.51884700665188
0.935,935.0,,64.1711229946524
0.896,896.0,,66.96428571428571
0.814,814.0,,73.71007371007371
0.763,763.0,,78.63695937090432
0.747,747.0,,80.32128514056225
0.771,771.0,,77.82101167315174
1.039,1039.0,,57.7478344562079
0.92,920.0,,65.21739130434783
1.027,1027.0,,58.42259006815969
1.046,1046.0,,57.36137667304015
0.944,944.0,,63.55932203389831
1.005,1004.9999999999999,,59.70149253731344
1.054,1054.0,,56.92599620493358
0.975,975.0,,61.53846153846154
0.952,952.0,,63.02521008403362
0.933,933.0,,64.30868167202571
0.874,874.0,,68.64988558352402
0.873,873.0,,68.72852233676976
0.881,881.0,,68.1044267877412
0.929,929.0,,64.58557588805166
0.847,847.0,,70.83825265643448
0.915,915.0,,65.57377049180327
1.011,1010.9999999999999,,59.34718100890208
0.913,913.0,,65.71741511500548
0.91,910.0,,65.93406593406593
0.944,944.0,,63.55932203389831
0.909,909.0,,66.006600660066
0.867,867.0,,69.20415224913495
0.907,907.0,,66.1521499448732
1.125,1125.0,,53.333333333333336
0.854,854.0,,70.2576112412178
0.848,848.0,,70.75471698113208
0.863,863.0,,69.52491309385863
0.888,888.0,,67.56756756756756
0.852,852.0,,70.4225352112676
0.839,839.0,,71.51370679380214
0.885,885.0,,67.79661016949153
1.12,1120.0,,53.57142857142857
1.124,1124.0,,53.380782918149464
1.015,1014.9999999999999,,59.11330049261084
1.056,1056.0,,56.81818181818181
1.047,1047.0,,57.30659025787966
0.983,983.0,,61.03763987792472
0.938,938.0,,63.965884861407254
0.926,926.0,,64.79481641468682
0.939,939.0,,63.89776357827476
0.881,881.0,,68.1044267877412
0.968,968.0,,61.98347107438017
0.997,997.0,,60.18054162487462
0.936,936.0,,64.1025641025641
0.948,948.0,,63.29113924050633
0.987,987.0,,60.79027355623101
0.961,961.0,,62.43496357960458
0.896,896.0,,66.96428571428571
0.938,938.0,,63.965884861407254
0.982,982.0,,61.09979633401222
0.964,964.0,,62.24066390041494
0.978,978.0,,61.34969325153374
0.947,947.0,,63.357972544878564
0.877,877.0,,68.41505131128848
0.841,841.0,,71.34363852556481
0.725,725.0,,82.75862068965517
1.045,1045.0,,57.41626794258374
0.869,869.0,,69.04487917146145
0.873,873.0,,68.72852233676976
0.883,883.0,,67.95016987542469
0.91,910.0,,65.93406593406593
0.826,826.0,,72.63922518159806
0.809,809.0,,74.1656365883807
0.861,861.0,,69.68641114982579
1.125,1125.0,,53.333333333333336
0.997,997.0,,60.18054162487462
0.978,978.0,,61.34969325153374
1.004,1004.0,,59.7609561752988
0.929,929.0,,64.58557588805166
0.809,809.0,,74.1656365883807
0.748,748.0,,80.21390374331551
0.731,731.0,,82.07934336525308
0.785,785.0,,76.43312101910827
1.152,1152.0,,52.083333333333336
1.231,1231.0,,48.74086108854589
1.06,1060.0,,56.60377358490566
1.032,1032.0,,58.13953488372093
0.88,880.0,,68.18181818181819
0.768,768.0,,78.125
0.7,700.0,,85.71428571428572
0.695,695.0,,86.33093525179856
0.693,693.0,,86.58008658008659
0.722,722.0,,83.10249307479225
0.862,862.0,,69.60556844547564
0.973,973.0,,61.664953751284685
0.813,813.0,,73.80073800738008
0.754,754.0,,79.57559681697613
0.712,712.0,,84.26966292134831
0.691,691.0,,86.83068017366136
1.078,1078.0,,55.65862708719851
0.534,534.0,,112.35955056179775
0.945,945.0,,63.492063492063494
0.904,904.0,,66.3716814159292
0.829,829.0,,72.37635705669481
0.755,755.0,,79.47019867549669
0.706,706.0,,84.98583569405099
0.665,665.0,,90.22556390977444
0.64,640.0,,93.75
0.629,629.0,,95.38950715421304
0.633,633.0,,94.7867298578199
0.661,661.0,,90.7715582450832
0.696,696.0,,86.20689655172414
0.736,736.0,,81.52173913043478
0.861,861.0,,69.68641114982579
0.989,989.0,,60.66734074823054
1.084,1084.0,,55.35055350553505
1.01,1010.0,,59.40594059405941
0.922,922.0,,65.0759219088937
0.923,923.0,,65.00541711809318
0.849,849.0,,70.6713780918728
0.807,807.0,,74.34944237918215
0.798,798.0,,75.18796992481202
0.797,797.0,,75.28230865746549
